Query,Doc-Length,Span,Min-Span,Normalized-Span,Normalized-Min-Span,Min-Distance,Ave-Distance,Max-Distance
NTCIR12-MathWiki-5,-0.2807017543859649,0.10818713450292394,0.7192982456140351,0.33040935672514615,0.10818713450292394,-0.1695906432748538,-0.2807017543859649
NTCIR12-MathWiki-6,0.5876068376068376,-0.1346153846153846,-0.1346153846153846,-0.1346153846153846,-0.1346153846153846,-0.1346153846153846,-0.1346153846153846
NTCIR12-MathWiki-9,0.0461538461538461,0.0461538461538461,0.0461538461538461,0.0461538461538461,0.0461538461538461,-0.2316239316239317,0.0461538461538461
NTCIR12-MathWiki-15,-0.4342105263157895,-0.04532163742690065,-0.15643274853801176,-0.3230994152046784,-0.04532163742690065,0.5657894736842105,0.45467836257309935
NTCIR12-MathWiki-17,0.32608695652173914,0.048309178743961345,0.21497584541062797,0.048309178743961345,-0.285024154589372,-0.39613526570048313,0.32608695652173914
NTCIR12-MathWiki-18,0.6170212765957447,-0.3829787234042553,-0.2718676122931442,-0.3829787234042553,-0.3829787234042553,-0.3829787234042553,0.5059101654846335
NTCIR12-MathWiki-19,-0.014084507042253521,-0.014084507042253521,-0.014084507042253521,-0.014084507042253521,-0.014084507042253521,-0.014084507042253521,-0.014084507042253521
NTCIR12-MathWiki-20,0.38181818181818183,-0.6181818181818182,0.2707070707070707,-0.6181818181818182,-0.6181818181818182,0.2707070707070707,0.38181818181818183
NTCIR12-MathWiki-22,-0.11428571428571428,-0.003174603174603177,-0.11428571428571428,-0.11428571428571428,-0.003174603174603177,-0.003174603174603177,-0.11428571428571428
NTCIR12-MathWiki-28,0.01570881226053633,0.12681992337164744,-0.1509578544061303,-0.1509578544061303,0.12681992337164744,-0.2620689655172414,0.12681992337164744
NTCIR12-MathWiki-29,-0.3387096774193548,0.27240143369175623,-0.3387096774193548,-0.3387096774193548,-0.2275985663082437,-0.06093189964157708,-0.3387096774193548
